Team,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,,,
19,vs,Partizan,14,29,48.3%,14,37,37.8%,16,22,72.7%,14,25,39,18,9,10,2,3,15,23,105,86,73,1,,
20,@,Crvena Zvezda,25,37,67.6%,13,33,39.4%,17,21,81.0%,10,25,35,25,8,10,3,0,20,17,128,106,89,1,,
21,vs,AS Monaco,26,42,61.9%,8,25,32.0%,16,20,80.0%,13,19,32,21,10,15,4,2,21,22,106,92,101,0,,
Valencia ,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,
Visitors Team,Home/Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,vs,Real Madrid,18,41,43.9%,10,24,41.7%,9,11,81.8%,12,18,30,20,7,14,1,5,20,19,74,75,81,0,156,-6
,@,Anadolu Efes,18,29,62.1%,11,25,44.0%,12,15,80.0%,7,25,32,18,6,14,5,1,20,19,98,81,75,1,156,6
