Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Real Madrid,18,40,45.0%,10,28,35.7%,20,23,87.0%,12,20,32,17,6,12,3,4,22,22,85,86,98,0,,
,,Zalgiris,21,38,55.3%,15,33,45.5%,13,18,72.2%,13,21,34,24,7,9,4,2,20,20,118,100,97,1,,
,,Olympiacos,16,30,53.3%,16,35,45.7%,13,16,81.3%,12,13,25,26,12,12,2,0,20,16,103,93,100,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18.3,36,51.2%,13.7,32,42.3%,15.3,19,80.1%,12.3,18,30.3,22.3,8.3,11,3,2,21,19,102,93,98,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Valencia,22,43,51.2%,8,25,32.0%,15,18,83.3%,13,25,38,15,6,11,2,3,24,21,86,83,94,0,,
